search_term,Input
"(""Eloctate""or""Efmoroctocog alfa""or""efraloctocog alfa"") AND (1980:2020 [pdat])","""Eloctate""or""Efmoroctocog alfa""or""efraloctocog alfa"""
"(""Raxibacumab""or""Raxibacumab""or""raxibacumab"") AND (1980:2020 [pdat])","""Raxibacumab""or""Raxibacumab""or""raxibacumab"""
"(""Palynziq""or""Pegvaliase ""or""pegvaliase"") AND (1980:2020 [pdat])","""Palynziq""or""Pegvaliase ""or""pegvaliase"""
"(""Gamifant""or""Emapalumab""or""emapalumab"") AND (1980:2020 [pdat])","""Gamifant""or""Emapalumab""or""emapalumab"""
"(""Rebinyn""or""Nonacog beta
pegol""or""nonacog beta pegol"") AND (1980:2020 [pdat])","""Rebinyn""or""Nonacog beta
pegol""or""nonacog beta pegol"""
"(""Vyondys 53""or""golodirsen""or""golodirsen"") AND (1980:2020 [pdat])","""Vyondys 53""or""golodirsen""or""golodirsen"""
"(""Erwinaze""or""Asparaginase Erwinia chrysanthemi""or""crisantaspase"") AND (1980:2020 [pdat])","""Erwinaze""or""Asparaginase Erwinia chrysanthemi""or""crisantaspase"""
"(""Caplyta""or""Lumateperone""or""lumateperone tosylate"") AND (1980:2020 [pdat])","""Caplyta""or""Lumateperone""or""lumateperone tosylate"""
"(""Xtoro""or""Finafloxacin""or""finafloxacin"") AND (1980:2020 [pdat])","""Xtoro""or""Finafloxacin""or""finafloxacin"""
"(""Annovera""or""Segesterone acetate and ethinyl estradiol vaginal system ""or""Nestorone and ethinylestradiol vaginal ring and  Population Council"") AND (1980:2020 [pdat])","""Annovera""or""Segesterone acetate and ethinyl estradiol vaginal system ""or""Nestorone and ethinylestradiol vaginal ring and  Population Council"""
"(""Lastacaft""or""Alcaftadine""or""alcaftadine"") AND (1980:2020 [pdat])","""Lastacaft""or""Alcaftadine""or""alcaftadine"""
"(""Nuwiq""or""Simoctocog alfa""or""simoctocog alfa"") AND (1980:2020 [pdat])","""Nuwiq""or""Simoctocog alfa""or""simoctocog alfa"""
"(""Aklief""or""Trifarotene""or""trifarotene"") AND (1980:2020 [pdat])","""Aklief""or""Trifarotene""or""trifarotene"""
"(""Oxervate""or""Cenegermin ""or""cenegermin"") AND (1980:2020 [pdat])","""Oxervate""or""Cenegermin ""or""cenegermin"""
"(""Brineura""or""Cerliponase alfa ""or""cerliponase alfa"") AND (1980:2020 [pdat])","""Brineura""or""Cerliponase alfa ""or""cerliponase alfa"""
"(""Epclusa""or""Sofosbuvir and velpatasvir""or""sofosbuvir and velpatasvir"") AND (1980:2020 [pdat])","""Epclusa""or""Sofosbuvir and velpatasvir""or""sofosbuvir and velpatasvir"""
"(""Ixinity""or""Recombinant Coagulation factor IX ""or""trenonacog alfa"") AND (1980:2020 [pdat])","""Ixinity""or""Recombinant Coagulation factor IX ""or""trenonacog alfa"""
"(""Obizur""or""Susoctocog alfa""or""susoctocog alfa"") AND (1980:2020 [pdat])","""Obizur""or""Susoctocog alfa""or""susoctocog alfa"""
"(""Anthim""or""Obiltoxaximab""or""obiltoxaximab"") AND (1980:2020 [pdat])","""Anthim""or""Obiltoxaximab""or""obiltoxaximab"""
"(""Idelvion""or""Albutrepenonacog alfa""or""albutrepenonacog alfa"") AND (1980:2020 [pdat])","""Idelvion""or""Albutrepenonacog alfa""or""albutrepenonacog alfa"""
"(""Vumerity""or""diroximel fumarate""or""diroximel fumarate"") AND (1980:2020 [pdat])","""Vumerity""or""diroximel fumarate""or""diroximel fumarate"""
"(""Alprolix""or""Eftrenonacog alfa""or""eftrenonacog alfa"") AND (1980:2020 [pdat])","""Alprolix""or""Eftrenonacog alfa""or""eftrenonacog alfa"""
"(""Akynzeo IV""or""Palonosetron and  fosnetupitant""or""fosnetupitant"") AND (1980:2020 [pdat])","""Akynzeo IV""or""Palonosetron and  fosnetupitant""or""fosnetupitant"""
"(""Adynovate""or""Antihemophilic Factor ""Recombinant"" and  PEGylated""or""rurioctocog alfa pegol and  Shire"") AND (1980:2020 [pdat])","""Adynovate""or""Antihemophilic Factor ""Recombinant"" and  PEGylated""or""rurioctocog alfa pegol and  Shire"""
"(""Mepsevii""or""Vestronidase alfa-vjbk""or""vestronidase alfa"") AND (1980:2020 [pdat])","""Mepsevii""or""Vestronidase alfa-vjbk""or""vestronidase alfa"""
"(""Jivi""or""Damoctocog alfa pegol""or""damoctocog alfa pegol"") AND (1980:2020 [pdat])","""Jivi""or""Damoctocog alfa pegol""or""damoctocog alfa pegol"""
"(""Afstyla""or""Lonoctocog alfa""or""lonoctocog alfa"") AND (1980:2020 [pdat])","""Afstyla""or""Lonoctocog alfa""or""lonoctocog alfa"""
"(""Tretten""or""Coagulation Factor XIII A Subunit ""Recombinant""""or""catridecacog"") AND (1980:2020 [pdat])","""Tretten""or""Coagulation Factor XIII A Subunit ""Recombinant""""or""catridecacog"""
"(""Jeuveau""or""Prabotulinumtoxina-XVFS""or""Prabotulinum toxin A"") AND (1980:2020 [pdat])","""Jeuveau""or""Prabotulinumtoxina-XVFS""or""Prabotulinum toxin A"""
"(""Revcovi""or""Elapegademase ""or""elapegademase"") AND (1980:2020 [pdat])","""Revcovi""or""Elapegademase ""or""elapegademase"""
"(""Asparlas""or""Calaspargase pegol""or""calaspargase pegol"") AND (1980:2020 [pdat])","""Asparlas""or""Calaspargase pegol""or""calaspargase pegol"""
